-2024_9_14-20_41_58
20_42_13 | INFO | UtopiaAirdropModule has started
20_47_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_47_13 | DEBUG | [AIRDROP] Player count: 0
20_47_13 | INFO | [AIRDROP] Players to start the airdrop.0
20_52_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_52_13 | DEBUG | [AIRDROP] Player count: 0
20_52_13 | INFO | [AIRDROP] Players to start the airdrop.0
20_57_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
20_57_13 | DEBUG | [AIRDROP] Player count: 0
20_57_13 | INFO | [AIRDROP] Players to start the airdrop.0
21_2_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_2_13 | DEBUG | [AIRDROP] Player count: 0
21_2_13 | INFO | [AIRDROP] Players to start the airdrop.0
21_7_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_7_13 | DEBUG | [AIRDROP] Player count: 0
21_7_13 | INFO | [AIRDROP] Players to start the airdrop.0
21_12_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_12_13 | DEBUG | [AIRDROP] Player count: 0
21_12_13 | INFO | [AIRDROP] Players to start the airdrop.0
21_17_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_17_13 | DEBUG | [AIRDROP] Player count: 0
21_17_13 | INFO | [AIRDROP] Players to start the airdrop.0
21_22_13 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_22_13 | DEBUG | [AIRDROP] Player count: 0
21_22_13 | INFO | [AIRDROP] Players to start the airdrop.0
